restaurant_id,rest_type
1262,Casual Dining
1263,Quick Bites
1264,Bakery
1265,Quick Bites
1266,Quick Bites
1267,Casual Dining
1268,Quick Bites
1269,Quick Bites
1270,Takeaway
1270,Delivery
1271,Casual Dining
1272,Food Court
1273,Bakery
1274,
1275,Quick Bites
1276,Quick Bites
1277,Casual Dining
1278,Casual Dining
1279,Casual Dining
1280,Dessert Parlor
1281,Quick Bites
1282,Casual Dining
1283,Delivery
1284,Delivery
1285,Quick Bites
1286,Casual Dining
1287,Quick Bites
1288,Quick Bites
1289,Quick Bites
1290,Casual Dining
1291,Confectionery
1292,Quick Bites
1293,Quick Bites
1294,Quick Bites
1295,Quick Bites
1296,Beverage Shop
1296,Quick Bites
1297,Quick Bites
1298,Quick Bites
1299,Quick Bites
1300,Delivery
1301,Takeaway
1301,Delivery
1302,Delivery
1303,Food Court
1304,Quick Bites
1305,Quick Bites
1306,Quick Bites
1307,Sweet Shop
1308,Bakery
1309,Quick Bites
1310,Dessert Parlor
1311,Casual Dining
1312,Bakery
1313,Takeaway
1313,Delivery
1314,Delivery
1315,Takeaway
1315,Delivery
1316,Takeaway
1316,Delivery
1317,Takeaway
1317,Delivery
1318,Takeaway
1318,Delivery
1319,Quick Bites
1320,Bakery
1321,Quick Bites
1322,Delivery
1323,Casual Dining
1324,Delivery
1325,Quick Bites
1326,Takeaway
1326,Delivery
1327,Takeaway
1327,Delivery
1328,Quick Bites
1329,Quick Bites
1330,Food Court
1331,Food Truck
1332,Beverage Shop
1333,Quick Bites
1334,Quick Bites
1335,Dessert Parlor
1336,Takeaway
1336,Delivery
1337,Pub
1337,Casual Dining
1338,Quick Bites
1338,Dessert Parlor
1339,Takeaway
1339,Delivery
1340,Delivery
1341,Quick Bites
1342,
1343,Bakery
1344,Quick Bites
1345,Delivery
1346,Quick Bites
1347,Casual Dining
1348,Casual Dining
1349,Casual Dining
1350,Cafe
1351,Quick Bites
1352,Casual Dining
1353,Quick Bites
1354,Lounge
1355,Bakery
1355,Quick Bites
1356,Food Court
1357,Delivery
1358,Delivery
1359,Dessert Parlor
1360,Delivery
1361,Quick Bites
1362,Delivery
1363,Food Truck
1364,Quick Bites
1365,Takeaway
1365,Delivery
1366,Quick Bites
1367,
1368,Casual Dining
1369,Casual Dining
1370,Casual Dining
1371,Delivery
1372,Casual Dining
1373,Dessert Parlor
1374,Quick Bites
1375,Bakery
1375,Quick Bites
1376,Dessert Parlor
1377,Quick Bites
1378,Takeaway
1378,Delivery
1379,Delivery
1380,Casual Dining
1381,Quick Bites
1381,Beverage Shop
1382,Takeaway
1382,Delivery
1383,Quick Bites
1384,Casual Dining
1385,Quick Bites
1386,Casual Dining
1386,Pub
1387,Quick Bites
1388,Delivery
1389,Delivery
1390,Quick Bites
1391,Quick Bites
1392,Delivery
1393,Dessert Parlor
1394,Quick Bites
1395,Quick Bites
1396,Quick Bites
1397,Casual Dining
1398,Casual Dining
1399,Casual Dining
1400,Casual Dining
1401,Casual Dining
1402,Casual Dining
1403,Casual Dining
1404,Casual Dining
1405,Quick Bites
1406,Quick Bites
